"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 14:35:59 GMT 2025","Wed Oct 01 14:36:09 GMT 2025","10634","","Прохождение тестов","","tests.passingtests.TestPassingTests","openPassingTestPage","Verify that passing test page opens correctly",""
"passed","Wed Oct 01 14:32:31 GMT 2025","Wed Oct 01 14:32:48 GMT 2025","16657","","Добавление нового кандидата","","tests.candidates.AddCandidateTests","addNewCandidateValidationErrors","Проверка валидационных сообщений об ошибке на модалке ʼДобавить кандидатаʼ [3] MISSING_EMAIL",""
"passed","Wed Oct 01 14:30:27 GMT 2025","Wed Oct 01 14:30:30 GMT 2025","2954","","Login tests","","tests.authandregistration.LoginTests","wrongLogin_showsErrorToast","SS-T31: Неверный логин → toast 'Ошибка входа'",""
"passed","Wed Oct 01 14:35:50 GMT 2025","Wed Oct 01 14:35:58 GMT 2025","8464","","Назначение теста кандидату через UI","","tests.managetests.AssignTestUiTests","assignTestToCandidate","Назначение теста кандидату",""
"passed","Wed Oct 01 14:30:39 GMT 2025","Wed Oct 01 14:31:18 GMT 2025","38954","","Масовое назначение тестов кандидатам","","tests.candidates.BulkTestAssigningTests","fullSuccessfulBulkAssigningTests","Назначение тестов нескольким кандидатам с успешным результатом",""
"passed","Wed Oct 01 14:34:43 GMT 2025","Wed Oct 01 14:34:50 GMT 2025","7717","","Settings tests UI","","tests.settings.SettingsTests","createUser","Create user",""
"passed","Wed Oct 01 14:30:03 GMT 2025","Wed Oct 01 14:30:06 GMT 2025","2709","","Проверка запросов GET /candidates","","tests.candidates.GetAllCandidatesTests","getAllCandidates","Check getting all candidates",""
"passed","Wed Oct 01 14:35:30 GMT 2025","Wed Oct 01 14:35:36 GMT 2025","5946","","Создание теста через UI","","tests.managetests.CreateTestUiTests","createNewTest","Создать новый тест полностью (уникальные данные)",""
"passed","Wed Oct 01 14:30:18 GMT 2025","Wed Oct 01 14:30:19 GMT 2025","1283","","Создание теста через API","","tests.managetests.CreateTestApiTests","updateTestTimeLimit","Редактирование теста: изменение лимита времени",""
"passed","Wed Oct 01 14:30:10 GMT 2025","Wed Oct 01 14:30:10 GMT 2025","705","","Login tests","","tests.auth.LoginTests","successfulLogin","Check successful login",""
